256	20	1	1
257	20	1	2
258	20	1	3
259	20	2	1
260	20	2	2
261	20	2	3
262	20	3	1
263	20	3	2
264	20	3	3
265	20	4	1
266	20	4	2
267	20	4	3
268	20	5	1
269	20	5	2
270	20	5	3
271	20	6	1
272	20	6	2
273	20	6	3
274	20	7	1
275	20	7	2
276	20	7	3
277	20	8	1
278	20	8	2
279	20	8	3
280	20	9	1
281	20	9	2
282	20	9	3
283	20	10	1
284	20	10	2
285	20	10	3
286	20	11	1
287	20	11	2
288	20	11	3
289	20	12	1
290	20	12	2
291	20	12	3
292	3	13	1
293	3	13	2
294	3	14	1
295	3	14	2
296	3	15	1
297	3	15	2
298	3	16	1
299	3	16	2
300	8	17	1
301	8	17	2
302	8	18	1
303	8	18	2
304	3	19	1
305	3	19	2
306	3	20	1
307	3	20	2
308	3	21	1
309	3	21	2
310	3	22	1
311	3	22	2
312	3	23	1
313	3	23	2
314	3	24	1
315	3	24	2
316	3	25	1
317	3	25	2
318	3	26	1
319	3	26	2
320	3	27	1
321	4	28	2
322	3	29	1
323	4	28	1
324	3	30	1
325	5	31	1
326	3	32	1
327	3	32	2
328	3	33	1
329	3	33	2
330	3	34	1
331	3	34	2
332	3	35	1
333	3	35	2
334	3	36	1
335	3	36	2
336	3	37	1
337	3	37	2
338	3	38	1
339	3	38	2
340	3	39	1
341	3	39	2
342	3	40	1
343	3	40	2
344	3	41	2
345	3	41	2
346	3	42	2
347	3	42	2
348	3	43	1
349	3	43	2
350	3	44	1
351	3	44	2
352	8	45	1
353	8	45	2
354	8	46	1
355	8	46	2
356	8	47	1
357	8	47	2
358	8	48	1
359	8	48	2
360	8	49	1
361	8	49	2
362	8	50	1
363	8	50	2
364	8	51	1
365	8	51	2
366	8	52	1
367	8	52	2

